                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                                     date 
                                    2680                                     2508                  2.2100000000000000E+000                  1.4200000000000000E-003                  9.3928912467258549E+008                  2.4972971968696048E+005                  2.7975636921433677E+004                  1.0948072961845055E+001                  1.4104825324440060E-001                  5.5755773765653893E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0531790895031980E-001                  2.8309278292199136E-001                  3.9249053536036555E-006                  6.0983673859437026E-001                  1.3956692932580118E-003                  3.8162698144261364E-001                 -4.0141123063193092E-012                  4.7415944672522274E-003                  6.1477991347275016E-007                  1.3621416930101321E-001                  7.6667269005941119E-002                  1.0840063119033014E-004                  1.6338068830156655E-001                  3.7954017452736737E-004                  3.6202063140753277E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8162698144225127E-001                  1.4087534338559649E-001                  3.8162698143763307E-001                  1.4043385094343175E-001                  8.5855002196386101E+002                  2.2138708817349914E+006                  3.4857913604760897E+008                  1.0891108253781391E+001                  1.7798291556696258E-001                  5.8598216340447058E+000                  6.2294138009265573E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.9642227074757528E+016                                    11701                               "gfortran"                                  "8.3.0"                  "x86_64-linux-20190503"                               "20230727" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  3.8162698144261364E-001                 -8.5063228782137890E-001                  4.4500916748361456E+000                 -7.6905688356902120E+000                  4.6989150588731690E+000                  3.4684782482979776E-001                  6.5176509011969896E-001                  1.3870850505033339E-003 
                                       2                  3.8162698144260709E-001                 -8.5065586550614680E-001                  4.4566917416006033E+000                 -7.6495219584741472E+000                  4.7459164664670830E+000                  3.4684782482979520E-001                  6.5176509011970152E-001                  1.3870850505033339E-003 
                                       3                  3.8162698144260049E-001                 -8.5067732017562048E-001                  4.4632597492247763E+000                 -7.6132009536466940E+000                  4.7883322430729658E+000                  3.4684782482979087E-001                  6.5176509011970585E-001                  1.3870850505033339E-003 
                                       4                  3.8162698144259383E-001                 -8.5069705633346004E-001                  4.4697473291715752E+000                 -7.5806905143873422E+000                  4.8269782640741923E+000                  3.4684782482978532E-001                  6.5176509011971151E-001                  1.3870850505031118E-003 
                                       5                  3.8162698144258717E-001                 -8.5071537143148590E-001                  4.4761223063032931E+000                 -7.5513085524447128E+000                  4.8624703420791553E+000                  3.4684782482977899E-001                  6.5176509011971762E-001                  1.3870850505033339E-003 
                                       6                  3.8162698144258056E-001                 -8.5073249051209066E-001                  4.4823642951170140E+000                 -7.5245456323298798E+000                  4.8952847235904544E+000                  3.4684782482977217E-001                  6.5176509011972461E-001                  1.3870850505032228E-003 
                                       7                  3.8162698144257395E-001                 -8.5074858834228850E-001                  4.4884614215267256E+000                 -7.4999982766904472E+000                  4.9257973162255215E+000                  3.4684782482976501E-001                  6.5176509011973160E-001                  1.3870850505033339E-003 
                                       8                  3.8162698144256735E-001                 -8.5076380316707612E-001                  4.4944079463278026E+000                 -7.4773442739187006E+000                  4.9543100355243892E+000                  3.4684782482975773E-001                  6.5176509011973882E-001                  1.3870850505034449E-003 
                                       9                  3.8162698144256080E-001                 -8.5077824616801456E-001                  4.5002024047785749E+000                 -7.4563297422127990E+000                  4.9810690339326795E+000                  3.4684782482975046E-001                  6.5176509011974626E-001                  1.3870850505033339E-003 
                                      10                  3.8162698144255414E-001                 -8.5079200828405233E-001                  4.5058462250208899E+000                 -7.4367500993506921E+000                  5.0062776398780189E+000                  3.4684782482974336E-001                  6.5176509011975337E-001                  1.3870850505033339E-003 
